,사고지역관리번호,사고연도,사고유형구분,위치코드,사고다발지역시도시군구,사고지역위치명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,위도,경도
9359,2019035,2018,보행어린이,45113001,전라북도 전주시 덕진구1,전라북도 전주시 덕진구 송천동1가(송천현대아이파크6단지 부근),3,4,0,0,4,0,35.86259072,127.1309967
9360,2019035,2018,보행어린이,46110001,전라남도 목포시1,전라남도 목포시 연산동(목포연산초교 부근),3,3,0,0,3,0,34.81171885,126.3803137
9361,2019035,2018,보행어린이,46130001,전라남도 여수시1,전라남도 여수시 신기동(시전삼거리 부근),3,3,0,2,1,0,34.76139335,127.674124
9362,2019035,2018,보행어린이,46150001,전라남도 순천시1,전라남도 순천시 해룡면(신대중흥S클래스메가타운아파트후문 부근),3,3,0,1,2,0,34.93566928,127.5456292
9363,2019035,2018,보행어린이,46770001,전라남도 고흥군1,전라남도 고흥군 고흥읍(고흥동초교 부근),4,4,0,0,4,0,34.60944845,127.2889362
9364,2019035,2018,보행어린이,46810001,전라남도 강진군1,전라남도 강진군 강진읍(강진중앙초교 부근),3,3,0,1,2,0,34.63723787,126.7669678
9365,2019035,2018,보행어린이,46900001,전라남도 진도군1,전라남도 진도군 진도읍(무진빌딩 부근),3,4,0,0,4,0,34.48328874,126.2660651
9366,2019035,2018,보행어린이,47111001,경상북도 포항시 남구1,경상북도 포항시 남구 대도동(상대초교 부근),3,3,0,2,1,0,36.02201139,129.3611548
9367,2019035,2018,보행어린이,47190001,경상북도 구미시1,경상북도 구미시 구평동(부영홈마트 부근),3,3,0,2,1,0,36.09176752,128.4355376
9368,2019035,2018,보행어린이,47190002,경상북도 구미시2,경상북도 구미시 인의동(우리홀푸드마트 부근),3,3,0,1,2,0,36.10625024,128.4242598
9369,2019035,2018,보행어린이,50110001,제주특별자치도 제주시1,제주특별자치도 제주시 이도이동(이도초교 부근),4,4,0,1,3,0,33.48862939,126.5339965
9370,2019035,2018,보행어린이,50110002,제주특별자치도 제주시2,제주특별자치도 제주시 연동(한라초교 부근),3,3,0,1,2,0,33.47819995,126.4873563
9371,2019035,2018,보행어린이,50110003,제주특별자치도 제주시3,제주특별자치도 제주시 화북일동(삼화초교 인근),3,3,0,1,2,0,33.51493462,126.5760841
9372,2019035,2018,보행어린이,50110004,제주특별자치도 제주시4,제주특별자치도 제주시 노형동(월랑초교 부근),3,3,0,0,3,0,33.49151906,126.4782163
9373,2019036,2018,보행노인,11110001,서울특별시 종로구1,서울특별시 종로구 낙원동(낙원지하상가 부근),9,9,0,7,1,1,37.57258091,126.9877286
9374,2019036,2018,보행노인,11110002,서울특별시 종로구2,서울특별시 종로구 종로3가(IBK기업은행 종로지점 부근),9,9,0,5,4,0,37.57023557,126.9903853
9375,2019036,2018,보행노인,11110003,서울특별시 종로구3,서울특별시 종로구 숭인동(연세김치과의원 부근),5,6,0,2,2,2,37.57504789,127.021448
9376,2019036,2018,보행노인,11140001,서울특별시 중구1,서울특별시 중구 남대문로5가(서울역9-1번출구 부근),5,5,0,3,1,1,37.55488288,126.9727207
9377,2019036,2018,보행노인,11140002,서울특별시 중구2,서울특별시 중구 방산동(향기나무한의원 부근),3,4,1,3,0,0,37.57116695,127.002822
9378,2019036,2018,보행노인,11140003,서울특별시 중구3,서울특별시 중구 신당동(신당중앙시장 부근),3,3,0,2,1,0,37.56553376,127.0195909
9379,2019036,2018,보행노인,11140004,서울특별시 중구4,서울특별시 중구 을지로5가(오장동사거리 부근),2,3,2,0,0,1,37.56471141,127.0027071
9380,2019036,2018,보행노인,11170001,서울특별시 용산구1,서울특별시 용산구 한남동(순천향병원 부근),7,7,0,5,1,1,37.53345082,127.0058221
9381,2019036,2018,보행노인,11170002,서울특별시 용산구2,서울특별시 용산구 문배동(원효빌딩 부근),3,4,2,2,0,0,37.53801369,126.9662077
9382,2019036,2018,보행노인,11170003,서울특별시 용산구3,서울특별시 용산구 한남동(가봉대사관 부근),2,2,1,0,1,0,37.5357344,126.9993705
9383,2019036,2018,보행노인,11170004,서울특별시 용산구4,서울특별시 용산구 이태원동(한스양복 부근),2,2,1,0,1,0,37.53344326,126.9889524
9384,2019036,2018,보행노인,11200001,서울특별시 성동구1,서울특별시 성동구 성수동2가(뚝도시장약국 부근),3,3,1,1,1,0,37.53765356,127.054355
9385,2019036,2018,보행노인,11200002,서울특별시 성동구2,서울특별시 성동구 금호동4가(KB국민은행금호동지점 부근),3,3,0,2,1,0,37.54805099,127.0233075
9386,2019036,2018,보행노인,11215001,서울특별시 광진구1,서울특별시 광진구 구의동(구의공원입구 부근),2,2,1,1,0,0,37.53642961,127.0949983
9387,2019036,2018,보행노인,11230001,서울특별시 동대문구1,서울특별시 동대문구 용두동(동서시장 부근),15,16,0,8,6,2,37.57906179,127.0409278
9388,2019036,2018,보행노인,11230002,서울특별시 동대문구2,서울특별시 동대문구 청량리동(청량리우체국 부근),13,15,1,4,8,2,37.58064593,127.0453332
9389,2019036,2018,보행노인,11230003,서울특별시 동대문구3,서울특별시 동대문구 휘경동(회기역앞 부근),4,4,1,2,1,0,37.59047037,127.0559657
9390,2019036,2018,보행노인,11230004,서울특별시 동대문구4,서울특별시 동대문구 답십리동(한화꿈에그린아파트입구 부근),4,4,0,4,0,0,37.56672548,127.0542924
9391,2019036,2018,보행노인,11230005,서울특별시 동대문구5,서울특별시 동대문구 이문동(신이문역1번출구 부근),4,4,0,3,1,0,37.60285159,127.0674241
9392,2019036,2018,보행노인,11230006,서울특별시 동대문구6,서울특별시 동대문구 장안동(새서울병원 부근),4,4,0,2,2,0,37.57364182,127.0720513
9393,2019036,2018,보행노인,11230007,서울특별시 동대문구7,서울특별시 동대문구 휘경동(중량약국 부근),4,4,0,1,3,0,37.59202184,127.0668117
9394,2019036,2018,보행노인,11230008,서울특별시 동대문구8,서울특별시 동대문구 장안동(장안2동 주민센터 부근),3,3,1,1,1,0,37.57887691,127.0702017
9395,2019036,2018,보행노인,11230009,서울특별시 동대문구9,서울특별시 동대문구 이문동(한솔고시텔 부근),3,3,0,3,0,0,37.59979432,127.0620721
9396,2019036,2018,보행노인,11260001,서울특별시 중랑구1,서울특별시 중랑구 면목동(브리앙아파트 부근),6,6,1,2,3,0,37.59196378,127.0931892
9397,2019036,2018,보행노인,11260002,서울특별시 중랑구2,서울특별시 중랑구 면목동(조은노인요양센터 부근),5,5,0,2,3,0,37.58631109,127.0944647
9398,2019036,2018,보행노인,11260003,서울특별시 중랑구3,서울특별시 중랑구 망우동(이마트상봉점 부근),5,5,0,2,3,0,37.59722222,127.0939305
9399,2019036,2018,보행노인,11260004,서울특별시 중랑구4,서울특별시 중랑구 중화동(중화역사거리 부근),5,5,0,2,2,1,37.60145457,127.0794186
9400,2019036,2018,보행노인,11260005,서울특별시 중랑구5,서울특별시 중랑구 면목동(면목2동사거리 부근),4,4,0,4,0,0,37.58666248,127.0796372
9401,2019036,2018,보행노인,11260006,서울특별시 중랑구6,서울특별시 중랑구 상봉동(상봉역1번출구 부근),3,3,1,1,1,0,37.59683193,127.0872492
9402,2019036,2018,보행노인,11260007,서울특별시 중랑구7,서울특별시 중랑구 면목동(일신강변아파트 부근),3,3,0,2,1,0,37.58711193,127.0742659
9403,2019036,2018,보행노인,11290001,서울특별시 성북구1,서울특별시 성북구 장위동(KB국민은행장위동지점 부근),6,6,1,3,2,0,37.61349965,127.0490183
9404,2019036,2018,보행노인,11290002,서울특별시 성북구2,서울특별시 성북구 정릉동(정릉우체국 부근),5,5,0,4,1,0,37.60615115,127.0109629
9405,2019036,2018,보행노인,11290003,서울특별시 성북구3,서울특별시 성북구 하월곡동(부모섬김노인요양원 부근),4,4,0,2,2,0,37.61107666,127.0341589
9406,2019036,2018,보행노인,11290004,서울특별시 성북구4,서울특별시 성북구 하월곡동(정평빌딩 부근),3,3,0,2,1,0,37.60349805,127.0428477
9407,2019036,2018,보행노인,11290005,서울특별시 성북구5,서울특별시 성북구 동소문동2가(성북녹십자약국1호점 부근),2,3,2,0,1,0,37.58961393,127.0084053
9408,2019036,2018,보행노인,11305001,서울특별시 강북구1,서울특별시 강북구 수유동(이상인한의원 부근),5,5,1,2,2,0,37.64569416,127.0107245
